dates,job-title,summary,pros&cons,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars
" Jul 8, 2017",Current Employee - Staff Software Engineer,Getting to be a big company but still treats employees well,"great benefits (meals, transportation, gyms, on site doctors and physical therapists) great co workers upper management are real humans who genuinely care about others and get up in front of everyone every week and answer arbitrary questions you . (depends a lot on where you are ) work might be less interesting than you want promotion system can be very demoralizing because you're being judged by others who may not have full context. so it incentivizes ""salesmanship"" which is not a skill that e",5,5,none,4,5,4
" May 22, 2018",Former Employee - Anonymous Employee,"Great company, terrible middle managers",not mentioned,1,2,5,3,4,1
" Nov 7, 2017",Current Employee - Prime Now Associate,A fantastic place to work.,a team environment snacks in break room occasionally a great way to sweat out calories if picking friendly assistant managers! most moved up so they understand your positions. co workers are great! you have your few bad seeds but what company doesn't. 1 15 min break,5,5,5,1,2,none
" Jan 9, 2017",Current Employee - Software Engineer,Awesome office in Seattle!,"internal tooling: coming from microsoft, the internal tooling here is nothing short of incredible. everything just works , and it's mostly consistent throughout the entire company. everyone uses the same code review process. everyone uses the same buil. 401k matching is capped at 50% match up to 7% of base salary no matching contributions for charitable giving",5,5,5,5,5,5
" Jul 5, 2018",Current Employee - Senior Instock Manager,Amazon Luxembourg,Good salary a lot of autonomy opportunities for internal mobility. 60 70 hours per week work on weekend Environment Stressing Big Internal Competition,1,1,1,2,4,1
" May 8, 2014",Former Employee - Software Development Engineer II,Regret I spent years of my life there,"to some people outside the ""circle"", they would respect you for being a microsoft employee, especially in other countries. h1b sponsorship smart, competitive people around you. a lot to learn from peers and managers. a company past its creativity curve. only tiny portion of the projects are interesting, and people will fight for you. if you newly join the company, you will spend quite some time doing the out dated technologies. ""factory"", ""assembly line"" style pro",1,1,1,1,1,1
" Sep 29, 2017",Current Employee - Software Engineer,A good place to learn and grow,not mentioned,4,4,4,5,4,3
" Sep 21, 2015",Current Employee - Anonymous Employee,Great place to work,not mentioned,5,5,4,5,3,3
" Sep 8, 2012",Former Employee - Anonymous Employee,Would rather work for a lesser known Company than work for a Bad Manager at Microsoft,"brand, labs, trainings, exposure, facilities. a lot of bad and ruthless managers crooked and corrupt visible favoritism lack of transparency limited career growth if one doesn't get into the favored book, reviews entirely in your manager's hand and the opinion he and his peers project of",2,3,1,2,3,1
" Jun 20, 2011",Current Employee - Anonymous Employee,Lot of Activity - What are we Doing?,"perks (cafeterias, massage, wellness programs, commuter shuttles, bowling alley (!) etc. etc.) are amazing sharp people flexible work environment strong teamwork culture. a lot of concurrent initiatives, but unsure of status/followthrough/reasons for these initiatives a sense that we are over hiring commitment to ""dogfooding"" is admirable but sometimes it's ok to use a non google application to manage some of our wo",3,3.5,none,3,5,3
" Apr 5, 2017",Current Employee - Anonymous Employee,Great Place to work,"you get to work mostly with nice and smart people who want to see you succeed a lot of autonomy and flexibility great perks, offices and facilities excitement of working for a company with such wide reaching impact a lot of openness and co. a lot of distractions and different things to work on, can be hard to prioritise workload sometimes as the company grows a lot more admin and process coming in which adds to the taskload things change all the time and it's an environment that can fr",4,4,5,4,5,4
" Aug 30, 2016",Current Employee - Technical Specialist,Apple Fam 4 Life,not mentioned,5,5,5,5,3,5
" Mar 16, 2013",Current Employee - Specialist,"You get emotional realizing you, on behalf of Apple, enrich people's lives","amazing work place leadership listens to employees ' ideas the job will change your personality ( in a very very good way ). a lot of shady customers who do damaging things angry customers yell at you don't count on a 9to5 schedule ( its retail , don't complain )",5,5,5,5,5,5
" Dec 11, 2018",Current Employee - Warehouse Sortation Associate,Warehouse Sortation Associate,not mentioned,4,5,4,3,4,5
" Feb 1, 2018",Former Employee - Anonymous Employee,Packer - Pack Singles,"weekday managers were pretty cool shift premium for overnights was $1.00 on top of the base $12.25/hr, so i ended up with about $800 a paycheck, which is great college money optional health benefits (didn't use them myself, but others told me they w. absolutely awful working conditions left the job because i had developed an overuse injury in my wrist from the demanding pace of 86 units/hr (some people can do upwards of 150/hr but not everyone is cut out for that) the nurse seems paid to be skep",2,1,2,3,4,2
" Nov 22, 2012",Current Employee - Senior Manager,"Great place for youngsters to start careers, but not many avenues for growth",not mentioned,1,1,1,1,2,1
" Feb 5, 2017",Former Employee - Anonymous Employee,"Avoid, unless you are desperate","informal culture, everyone knows each other, it was like one big family challenging environment with a lot of opportunities high salary onboarding process was well organized. if you are level 4 and above (salaried people), you have to go through a. absolutely no work life balance (at least in prg1 and prg2, i cant speak for shared service center in dejvice). before joining amazon, i was reasured by my hiring manager that you have normal working hours as anywhere else. this has changed dramatically",1,1,1,5,1,1
" Feb 4, 2018",Current Employee - Senior Finance Manager,Great company on technicals / Terrible on intangibles,"competitive pay package (base, stock, bonus), fantastic benefits (best in class healthcare, generous vacation/leave, 401k match up to $9k a year, fitness reimbursements and a lot more), cvp level and above are genuinely smart people, company is go. absolutely terrible middle management. mix of incompetence and constant politicking. some gms or sr. directors are absolute idiots barely able to even understand work in their prerogatives (yet they won't hesitate providing ""feedback"" and ""insights""),",2,5,1,1,5,1
" May 6, 2015",Current Employee - Anonymous Employee,Software engeener,not mentioned,5,5,4,5,4,4
" Feb 19, 2014",Former Employee - Technical Support Advisor,"Very encouraging leadership, you'll get out what you put in",not mentioned,4,5,4,5,5,4
" Jun 6, 2012",Current Employee - Lead Software Development Engineer In Test (SDET),I love it here!,not mentioned,5,3,4,5,5,4
" Jun 25, 2016",Current Employee - Product Marketing Manager,Amazing enviroment and stability,"much less agressive work enviroment then amazon. if you ge in, the pay is great but the benefits are outstanding, for example they have some years where they will give you a dollar for a dollar you put into your 401k. senior managers are extremely hel. after becoming a senior product manager the movement towards becoming a director is slow, is possibly takes 4 6 years from the time you become a senior manager, but salary does increase a lot even during those slow years. (if you make it to director in",5,5,5,5,5,5
" Oct 28, 2012",Current Employee - Software Development Engineer In Test (SDET) II,Working in Windows,not mentioned,2,2,3,2,4,1
" Aug 11, 2015",Current Employee - Anonymous Employee,Customer Relations Advisor,medical insurance 100% from day one onwards pension plan apple will match up to 7% of your contribution to the company pension plan product purchase plan discounts on the purchase of apple products stock purchase plan discounts on the purchase of apple stock/shares life assurance 4 times annual salary. aggressive time frame as advisor your chained on your desk tough working policy you get incidents for being sick managment create lots of pressure csat target of 90% even though nearly all of your calls are complaints,3,4,3,2,4,1
" Aug 18, 2014",Current Employee - Product Marketing Manager,More cons than pros,"70% can get away with doing mediocre work, with minimal effort, and still get a great salary. ability to work from home benefits such as health care most of the products truly sell themselves. all about metrics, spreadsheets, reporting on the past vs. making real impact for the future. no real power to influence most marketing, creative, product, or strategy unless you work in redmond. marketing positions should be renamed to 'spreadsheet m",3,3,2,2,4,1
" Aug 21, 2016",Current Employee - Anonymous Employee,Amazing place if you prefer running to walking/standing,"keep in mind, all of this is the experience of a senior engineer in a particular group. ymmv. everyone wants their product and amazon in general to be the market leader. the idea of being an also ran is totally alien. i can't overstate how great it is for morale for everyone to be so driven. you see the effects of your work. no matter who your customer(s) is/are, the company makes sure you are connected to them. an endless number of difficult problems. even pedestrian engineering tasks become significant at amazon because of the scale. demandingly high but realistic expectations. people at amazon are smart and competent, and they expect all their coworkers and reports to be smart and competent. you'll rarely feel like one or more bad coworkers are dragging down your team, and on occasion when they do sneak in those coworkers don't last long. similarly, management isn't in the habit of passing down impossible edicts, because they get called out and pushed back about it when they try. transparency and sound, if not perfect, corporate strategy. i've never once been told ""do this because i said so"". there's always reasons that can be traced to actual needs and desired outcomes, and unless it's an experiment there's typically good data to back it up. amazon doesn't operate on whims, nor does it waste time on petty vanity projects that can't be shown to provide significant benefit. a weird combination of stability and flexibility. the company is doing well, so if you're getting your job done there's no chance you're going to get laid off. promotions are by no means easy, but not as difficult as some make them out to be, and it is very easy to move around at the same level. it's hard to feel like you're trapped in a dead end job. competitive compensation and benefits. amazon may have been lagging in this regard historically, but they've definitely caught up. the compensation structure is a little strange and some people view it as a reason to quit after two years, but i think that's the exact intention. great workspace. the buildings don't have much in the way of flashy extras, but, given that they're in the middle of a major city rather than off in the burbs, they don't really need them. the offices are comfortable and more spacious then i've seen at other big tech firms. the location has lots of good stuff to eat and do within a short walk. bicycle cages and locker rooms make bike commuting a breeze. awesome internal communities, both for work related and non work topics. good work life balance. i put this last on the list because it's the least certain. if you have a good manager and take managing your own work and time seriously, you should have no trouble excelling without having to put in extra hours. i work fewer hours at amazon not much more than 40/week on average than i did at companies that have better reputations for work/life balance, because employees are more empowered to make and manage workloads.. all of the above pros may be completely absent in a different role/group/department/location. the company is huge, and despite considerable attempts at sops there's quite a bit of variation team to team and role to role. you start juggling quite a few",5,4,5,5,4,5
" May 14, 2015",Current Employee - Anonymous Employee,Manage your expectations & have an exit strategy,not mentioned,2,1,1,2,3,1
" Mar 26, 2017",Former Employee - Technical Support,Great company,not mentioned,5,3,5,5,5,4
" Apr 7, 2015",Former Employee - Mac Specialist (Apple Store),"Good experience, would recommend if somebody wanted to get some good experience at selling a product.",not mentioned,3,3,3,3,2,3
" Dec 19, 2014",Former Employee - Account Executive,"Fast-paced, supportive, and competitive environment","great team, i can honestly say 99% of my coworkers were wonderful and talented individuals amazing benefits, it's all true! management clearly communicates vision and goals and share feedback on strengths and areas of improvement.. amazing benefits sometimes serve as ""golden handcuffs"" for those who ultimately want to be somewhere else. performance ratings are on a curve, so you are essentially competing with your talented peers for promotion. still, despite its pro's and con's,",5,4,5,5,5,4
" Mar 12, 2010",Current Employee - Anonymous Employee,"Work Hard, Have Fun, Make History!","limitless opportunity. if you want it, work hard and you can get it. growth & change we've doubled in size in the last 4 years through developing great products and services. with that kind of growth you get to try just about anything you want.. amazon doesn't have a great focus on the satisfaction of their employees. thus, benefits are light and you should expect much from the company (other than great comp) to keep you satisfied.",5,4,none,4,3,4
" Apr 26, 2015",Current Employee - Anonymous Employee,Creative at Amazon Game Studios,"working with exceptionally talented, experienced game developers on games that push the envelope in some aspect. think big is taken seriously. feels like a small to mid size studio, but with backing of a huge corporate parent with resources. i'm exc. amazon game studios is still finding its way in terms of game development process and what market to address. this has been improving steadily and will hopefully not be an issue in a couple of years. the frugality principal shouldn't always apply to g",4,4,5,5,4,4
" Sep 11, 2016",Current Employee - Manager,I've done really well here but am actively seeking an exit strategy,not mentioned,1,1,2,1,4,1
" Dec 18, 2014",Former Employee - Anonymous Employee,"Ruthless company, cut-throat management who could careless about employee satisfaction.",not mentioned,1,1,1,1,2,1
" Oct 9, 2017",Former Employee - Investigations Specialist,My advice is stay away unless you will work as manager or high level roles,"it's a job ! after all you can pay the bill have food , some beer go to holidays the illusion of working for a great company its great on the cv the interview part and recruiter makes you feel you really got into something great. some pizzas , . amazon targets for employees are determined by some artificial intelligence software : you get it !! does not take into account the human aspect it just predicts what you should be you next target. target are moving at crazy pace . this month 10 is the",1,2,2,1,2,1
" Jan 31, 2017",Former Employee - Senior Recruiting Manager,top heavy management,not mentioned,3,4,3,2,4,2
" Jun 20, 2016",Current Employee - Area Manager,Amazing Company,"work along side incredibly bright people campus cafes are amazing really great benefits prestige of working for apple. i mean, come on. it's apple.. ambiguity, ambiguity everywhere. it's part of the job. get used to it. internal competition for new job openings and/or promotions. you think you are real smart and successful? well, guess what, so are all the other candidates that applied internally.",5,2,5,3,5,5
" Jan 26, 2018",Former Employee - Account Manager,"Great company, underwhelming group",not mentioned,2,1,1,4,3,1
" Nov 22, 2015",Former Employee - Web Developer,Would not work here again,you'll be working with smart people you'll have tons of responsibility work is interesting. ancient code bases you'll have tons of responsibility not a good place if you can't handle stress there was never any downtime,1,1,5,3,3,1
" Dec 7, 2015",Former Employee - Specialist,"Great part time job for college students, offers career opportunities for those looking to work full time.",not mentioned,4,4,4,3,3,3
" Jul 23, 2018",Current Employee - Anonymous Employee,App Review is a disgrace to Apple,"having worked in quite a few departments within apple, this is by far the worst department. what are the issues? oh gosh, no idea where to begin. simply put, it is career suicide. if you are offered the ios app reviewer position or any other position in this department, deny it & look somewhere else. now lets get into the details... the only pros are: classy apple badge 401k match & health insurance employee discounts these are the perks for now, but will likely change in the future. apple culture does not exist here, but instead a toxic culture does! if you are expecting to work for apple and experience real apple culture, this place is not for you. the sole purpose of this job is to clock in, sit at your desk for 10 hours, and be",1,1,1,1,5,1
" Aug 8, 2017",Current Employee - Anonymous Employee,Working in iTunes,not mentioned,3,4,3,2,5,3
" Aug 27, 2017",Current Employee - Technical Specialist,Top Arbeitgeber!,not mentioned,5,5,5,4,5,5
" Sep 25, 2017",Former Employee - Senior Sales Manager,Super special - im many ways. Not a 1st choice experienced professionals.,"great market position awesome opportunities, to change roles (x functions, international) within the company attractive stock units packages strong (customer centric) values. arrogant culture (""we know better"") micromanaging manager style very poor tools and internal systems far away from other tech companies non inspiring culture",1,2,2,2,2,1
" Jan 12, 2016",Former Employee - Applecare Advisor,Great Place to Start!,not mentioned,4,5,5,3,3,3
" Jan 13, 2014",Former Employee - Program Manager,"Good company for engineers, strong work culture, company getting too big & hierarchical","set the standard for employee benefits and perks (cafeteria food options, shuttle, holiday parties, holiday gifts, gym, etc.) guest speakers and visitors (my favorite part about the company. people from condoleezza rice to david beckham to lady gaga h. as a very engineering centric company, not as many other resources go towards the supporting functions. engineers have a clear career path, yet this can be difficult to navigate if you're in another role. however, there is much internal mobility. like",3,3,4,3,4,4
" Dec 28, 2017",Current Employee - FC Area Manager,FC Area Manager,not mentioned,4,1,4,4,5,3
" Apr 27, 2017",Former Employee - Field Sales Representative,"Lots of changes, without field direction",not mentioned,3,3,4,4,4,5
" Jul 11, 2018",Former Employee - Anonymous Employee,Best Company to Work For,not mentioned,5,4,5,5,5,4
" Jul 20, 2016",Former Employee - Software Engineer,"Very well run, maybe not ideal if you like wearing many hats",not mentioned,4,4,5,5,5,5
" Jun 18, 2014",Former Employee - Anonymous Employee,Good,"definitely google provides the best perks...food, events, gym, lots of learning opportunities and cultural activities. it's like a living in a grown up college campus. great people to work with. most of my teammates were emotionally balanced, pleasant. as my department grew they started having too many middle management (several 'directors' in one team? really?) and it was not really clear why they're here. too many re orgs just for re orgs sake, or just to create some work for those managers. one t",4,5,5,3,5,3
" Jun 1, 2015",Current Employee - Developer,Great company,"incredibly smart people unlimited opportunities (i have no technical background and am now coding!) the company is actually making a difference great salary and benefits people who care. as the company grows, there is also more process in some orgs, leadership loses touch to their team's work this leaves too much room for meaningless buzzwords",5,3,4,5,4,4
" Jun 8, 2018",Current Employee - Program Manager,"Awesome projects, great co-workers, decent work/life balance","tons of different products that the company is working on and it's easy to switch to one that you're interest aligns with really smart people who (mostly) want to do the right thing. as you move up, you do have to pay some politics to ensure you're getting what you deserve in terms of compensation but that's true for any big company, afaik once the initial on hire stock expires (~3.5 years usually), microsoft's stock refreshers ar",4,4,4,4,5,4
" Nov 25, 2018",Former Employee - Senior Financial Analyst,Severely long hours = McDonald's hourly wage,"apple name on resume employee discount... isn't worth the trouble, pain, and ptsd you will experience. at least 60 80 work weeks. expect to work late nights, weekends, and holidays. while the company shuts down for thanksgiving, you can expect to be working in finance. say goodbye to family dinners, time with friends, and any semblance of a life. low m",1,1,1,1,1,1
" Aug 21, 2018",Current Employee - Virtual Customer Service Agent (PT-Flex),Virtual Customer Service Agent (PT-Flex),"choose your hours every 3 weeks (however the hours available are based on the projected demand of customers) you have a unpaid time off bank that refills every quarter with 20hrs (you can use those hours as you please except during prime week) som. at the end of the day... it's customer service so you're dealing with the general public.. and they can be ungrateful, rude, and/or not happy with what you can provide it is also retail so your hours are not stable and they change a lot (which can al",3,5,3,3,3,5
" Jan 3, 2010",Former Employee - Anonymous Employee,"Great to have on resume, law of diminishing returns on career development sets in over time",not mentioned,3,3,none,2,4,2.5
" Jan 30, 2010",Current Employee - Senior Software Engineer,"Google is great in many, many ways, but has become a big company.","outstanding, a engineering talent founders really push teams to ""think big"" and change the world engineers have great freedom to choose what they work on eng svp's great.. technically and as leaders.. love them all. great place for recent grads. atmosphere is rather impersonal hard to fit in if you are further along in your career teams very silo'ed and x team coordination almost impossible stock option packages minimal for people starting after 2006.. so not much upside there (though bas",3,4,none,2,4,3
" Mar 4, 2018",Former Employee - Anonymous Employee,It's Amazon,"opportunity to obtain management experience through manual labor. you work hard, show you're interested, everything else writes itself. work is mind numbingly easy, and remains that way as you climb up. the standards are nowhere near as high as amazo. attempts to flatten amazons bureaucratic hierarchy are laughable. with leaders always asking ""what can i do for you,"" and saying, ""you're the boss, you're the one who did everything."" yet ultimately they still call the shots, make a higher wage, and tre",2,3,1,4,5,1
" Jan 23, 2018",Former Employee - Apple Genius,travail famille impossible,"Insurance salary skills that are more than incontent. No consideration on schedules, no way to have a schedule. No progress possibilities in the retail. Middle eats Apple expreel.",2,1,1,1,5,1
" Oct 20, 2014",Current Employee - Software Development Engineer I,"Great place to work, but average compensation.","great quality of work (esp. within aws) surrounded by very smart engineers management is very receptive to ideas and feedback super customer obsessed strong company culture. people really believe in company's core values which makes for an inspi. average pay and benefits. amazon is lagging behind other companies in it's class (facebook, google, ms, etc.) slow promotions in some parts of the company on call rotation can be bad at times (although it depends on the team).",4,4,5,5,2,5
" Jan 5, 2013",Current Employee - Software Engineer IV,Too many limitations and hype for average salary,"it seems to be good for resume. people believe that apple is hot.. average salary poor bonus with no stocks obj c/cocoa is only matters, don't even bother if you are html5/js person not much innovation in a lot of departments, especially is&t very little diversity in a lot of departments",2,4,2,1,2,3
" Apr 20, 2015",Current Employee - Cloud Support Engineer,Cloud Support Engineer,not mentioned,4,4,4,4,4,4
" Apr 30, 2018",Current Employee - Inbound Stow,Ugh,not mentioned,1,2,1,1,5,1
" Sep 8, 2018",Current Employee - IT Support Engineer,Stay away from Global IT!!,not mentioned,2,3,2,2,4,1
" May 9, 2018",Current Employee - Social Media Specialist,Amazon Morocco - Social Media Specialist & Customer Service Associate,not mentioned,1,3,1,2,2,2
" Jul 28, 2015",Former Employee - Anonymous Employee,"Good for a few years, but don't stay too long",not mentioned,3,2,2,2,4,3
" Dec 27, 2016",Current Employee - Anonymous Employee,Work work work - byebye life,not mentioned,3,1,4,3,3,4
" Dec 10, 2014",Former Employee - Software Engineer,Good learning curve bad office politics,not mentioned,2,none,none,none,none,none
" Dec 18, 2013",Current Employee - Software Development Engineer In Test (SDET),"Good Pay and Perks, Bad Work Culture.",not mentioned,3,2,2,4,4,3
" Dec 18, 2013",Current Employee - Software Development Engineer In Test (SDET),"Good Pay and Perks, Bad Work Culture.",not mentioned,3,2,2,4,4,3
" Feb 2, 2018",Current Employee - Senior Manager,Amazon Business,"great profit sharing model keeps employees invested in continual improvement true customer focus makes setting priorities consistent amazing brand recognition and mentality of customer obsession provides unity for teams. base pay is generally less competitive (but total comp makes up for it) business processes are very rigorous, requiring a substantial amount of time writing ""docs"", justifying cases with ""1 pagers"", and waiting for a decision.",5,4,5,5,5,4
" Feb 18, 2012",Former Employee - Accountant,Work work work... Disappointing perks and bonus,not mentioned,1,1,none,2,1,2
" Dec 21, 2017",Current Employee - Anonymous Employee,"Still great, but becoming more corporate",not mentioned,4,none,none,none,none,none
" Sep 27, 2013",Current Employee - Associate Site Merchandiser,Great company to start your career!,not mentioned,4,3,5,5,3,5
" Nov 13, 2012",Current Employee - Recruiter,Come here if you want to make an impact.,"i joined facebook coming from 8 years in the financial services industry. wow, what a world of difference. 2 biggest pros come to mind: openness. do you have an issue with a colleague or something facebook is doing? no problem. take care of it. facebook encourages its employees to be open and give feedback for things they think should be improved. do you want to see your impact on 1 billion users? come to facebook. although i'm not in engineering, i work with a lot of software engineers, including interns, who constantly talk about the things they work on and how they love showing these off to their friends and family.. being 7 months new, i am still in the process of thinking of areas of improvement.",5,5,5,5,5,5
" Nov 12, 2016",Current Employee - Anonymous Employee,Work Life Balance is Non-existent,"wages, benefits, perks and working from home.. being a leader is not about completing checklist tasks. excessive meetings, documentation and monitoring does not make you effective. advisor and manager schedules should align at least 70% of the time. managing a team of 20 advisors whose schedules r",3,1,4,3,5,3
" Sep 30, 2012","Current Employee - Director, Product Management",New HR rating system makes it difficult to manage,"still a market leader in many areas. strong investment in r&d shoudl allow that to continue. great benefits. good salary, especially for lower level roles. lowest salaried role is over 70k plus bonus many smart people. being a manager is disturbing. new performance system forces some irrational decision. i'm sure that microsoft does need to fire 5% of its workforce, but it is simply making the company more bureaucratic. performance is less critical than political posi",2,3,2,2,3,2
" Dec 6, 2017",Current Employee - Anonymous Employee,Amazing place to work at.,not mentioned,5,3,5,5,5,5
" Sep 19, 2017",Current Employee - Senior Manager,7 years,"probably the most innovative tech company out there today. it's impossible to be bored here lots of career growth opportunities due to the incredible expansion of the business work culture has significantly gotten better since the nyt article in 201. benefits (401k, perks etc.) are weak compared to peer software engineering companies (google, facebook etc.) seattle is getting expensive for everyone and is partly driven by the tremendous growth in amazon employees moving into the city.",5,4,5,5,2,5
" Jul 8, 2008",Current Employee - Software Development Engineer II,"Great place to work and make history, but doesn't leave that much time for fun.",fast paced dynamic environment. smart co workers. strong sense of ownership in the decentralized model lends itself to designing and writing better software. flexibility to explore alternate career paths.. benefits are poor. the 401k match is just 2%. medical and dental plans are pretty ordinary. pager duty. getting paged 40 times a week can be annoying. work/life balance. i find myself working long hours more often than not.,4,3.5,none,4.5,3.5,3.5
" Jan 13, 2016",Former Employee - Anonymous Employee,Solution Specialist,"can be fun, lots of opportunity to expand exposure to different markets/segments. benefits aren't what they used to be pay is stagnant, can make considerably more outside of ms there's still plenty of boy's club mgmt circles that exclude outsiders regardless of experience or success",4,4,4,4,3,3
" Sep 4, 2017",Current Employee - Anonymous Employee,Area Manager,not mentioned,2,3,3,3,3,3
" Feb 28, 2013",Current Employee - Software Development Engineer,"Once great, now full of fail","the people you work with are usually good people free drinks and starbucks/seattle's best coffee pay is pretty good. benefits suck now company has been going nowhere for over a decade review system is an abomination if you're unlucky enough to work in the newer buildings, enjoy the moronic decisions to put everyone in open spaces and block off the windows so you",1,2,1,1,4,1
" Mar 25, 2015",Current Employee - Software Engineer,"Solid benefits, a variety of teams and products",not mentioned,4,4,2,4,4,3
" May 29, 2017",Current Employee - Program Manager,Program Manager,not mentioned,5,3,5,5,5,5
" Nov 4, 2014",Current Employee - Software Engineer,Constant re-orgs and then laid off a few months after being hired,not mentioned,3,3,3,3,4,3
" Feb 9, 2017",Current Employee - Anonymous Employee,Microsoft Cares,not mentioned,5,5,5,5,none,none
" Nov 25, 2008",Former Employee - Anonymous Employee,Great place to work if you like big companies,not mentioned,4,4,none,4,4,4
" Jul 16, 2012",Current Employee - Anonymous Employee,"If you choose to work in a big corporate, Microsoft is one of the best options",not mentioned,4,none,none,none,none,none
" Oct 1, 2016",Current Employee - Anonymous Employee,Microsoft Development Center Serbia - review,not mentioned,4,2,5,4,5,4
" Jul 5, 2017",Current Employee - Global Program Manager,Microsoft Services,exciting and challenging work environment good pay with excellent benefits no stories of people crying at their desks (like at another local tech company) world class competition and disrupters facilitate an environment where innovation and . big set of products and services across the gamut of it makes it challenging to coordinate and align activities legacy products and customers can be a drag on competing against companies born in the cloud,5,5,5,4,4,5
" Jun 7, 2017",Current Employee - User Experience Designer,Great job with a few caveats,"great work life balance (depending on team) pay is comparable to industry competitors. benefits are pretty solid, great health insurance, matching 401k and employee stock purchase program. also, there is a $800 stayfit benefit where you can use on he. bloated middle management can sometimes prevent great work from being done. cross organizational communication and collaboration aren't as good as it could be.",5,5,5,5,4,4
" Jun 30, 2015",Current Employee - Software Design Engineer,Great Company but being on the right team is important,not mentioned,4,4,3,5,4,3
" Feb 20, 2018",Current Employee - Data Center Operations,My experience within Amazon,not mentioned,4,1,3,4,3,3
" Sep 30, 2016",Former Employee - Anonymous Employee,Software Engineering Intern,not mentioned,2,1,4,5,4,2
" Dec 16, 2009",Former Employee - Software Development Engineer Intern,Comfortable but boring,not mentioned,3,3.5,none,3.5,4,3
" Mar 1, 2017",Current Employee - Transaction Risk Investigator,Transaction Risk analyst review,not mentioned,4,3,3,4,4,3
" Jun 25, 2018",Current Employee - Software Development Engineer,Software Development Engineer,not mentioned,1,1,1,1,5,1
" Jun 21, 2010",Former Employee - Anonymous Employee,Great place to work at,not mentioned,4,4.5,none,4,4,2
" Oct 27, 2017",Current Employee - SDE2,"Still here, still having fun, making history, and sometimes working hard",not mentioned,5,5,5,5,3,4
" May 2, 2014",Former Employee - Program Manager,Love/Hate relationship (disclaimer: ,not mentioned,3,3,1,4,4,2
" May 2, 2015",Current Employee - Anonymous Employee,Policy,"fantastic perks, interesting colleagues potentially very interesting work. by now very large, hence more bureaucratic, moves slowly.",4,3,4,5,5,4
" Dec 14, 2016",Current Employee - Anonymous Employee,Good work-life balance,"good looking office. micro kitchen on each floor with free soft drinks and sometimes fruits. pool and table tennis on some floors. large cafeteria. free shuttles to/from closest subway stations.. cafeteria is not free. office location is not perfect it's far from the city center, there are no nice restaurants around. shuttles only work from about 8am to 10pm, which sometimes is not enough.",5,5,5,5,4,5
