dates,job-title,summary,pros&cons,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars
" Jul 27, 2010",Current Employee - Software Engineer III,Grinding it out,"great products, warm fuzzy feelings everytime you see white headphones. everyone in the world knows and loves your products. lots of the people are great (and smart!).. zero information or support for career or professional development. turning the crank is the name of the game. look elsewhere if you want career advancement.",4,4,none,2,3,3
" Dec 10, 2016",Current Employee - Anonymous Employee,difficult,"fast paced, great job, great benefits.. zero on boarding policies, so bad it almost seems like a deliberate action to weed out dead wood",5,2,3,5,5,3
" Sep 24, 2015",Current Employee - Fulfillment Center,Fulfillment Center,"world class benefits for entry level and above positions. exposure to a diverse workforce from ged educated employees to advanced degrees.. zero opportunity for advancement if you are 40 or over regardless of education or experience. average age of leadership is mid 20's and tattoos, piercings, and a sloppy appearance will not hold you back if you are no threat to management.",1,1,1,1,3,2
" Oct 10, 2014",Current Employee - Technical Program Manager II,Love this place,"tons of autonomy, required mastery, and ability to create purpose.. zero perks. no gym, no free food, etc.",5,4,4,5,5,5
" Nov 18, 2008",Current Employee - Product Manager,this is a great company that could benefit from treating its talent better,"leader in the industry on an upward climb, really intelligent leaders. zero professional growth and little insentive to go beyond the call of duty",3,4,none,1,2.5,3
" Oct 17, 2016",Current Employee - Transaction Risk Investigator,Not Living Up To It's Name,good work culture nothing else is good. zero skill development shifting focus to being like other bpos no work life balance,2,1,4,1,3,3
" Sep 19, 2017",Former Employee - Anonymous Employee,Only suitable for those that enjoy mindless dead-end jobs.,not mentioned,1,4,1,1,2,1
" Jun 9, 2016",Former Employee - Operations Manager II,Operations Manager II,"huge opportunity for growth! attractive signing bonus and stock incentives. competitive salary but do your research before you accept.. zero stability in your schedule, will probably have to work nights at some point. onboard training is mostly focused on culture, not the technical part of the job.",4,1,1,5,4,1
" Jul 5, 2010",Current Employee - Anonymous Employee,Work at Microsoft,job security. it is a place where people can hide for years.. zero strategic vision left at the company. they are lost trying to figure out what is next while clinging onto the past.,2,3,none,2,4,2
" Oct 30, 2009",Current Employee - Senior Program Manager,"Inmates run the asylum. Engineers have been given leadership positions with little, or no, management experience.","great benefits. lots of different products to work on.. zero strategy beyond the windows / office gravy train. promotions occur based on how long you've been friends with your manager. engineers run the business units, and typically, engineers that embody the not invented here syndrome. even though we have bought every successful piece of technology in our portfolio. the focus on ""platform strategy"" eliminates any attention to user experience.",2,4,none,3,4,1
" May 19, 2011",Former Employee - Customer Service Representative,"It paid decent, but the level of efficiency stripped all the human aspects away.","the pay you well, they have a great health care plan, and they will give you full time status and paid training.. zero time to be human, the constant computer monitoring puts you on edge since you have only 5 minutes to explain to an 80yr old how to install firefox in order to watch a video on their mac computer. this job tells you to be super human and empathetic, yet their employees want to shoot themselves since the place is run like a prison camp. trying to go to the bathroom will result in your averages going down on the computer monitoring system and if your average falls below 5 minutes per call per shift you are fired, zero tolerance!",1,1,none,3.5,4,1
" Nov 28, 2012",Former Employee - Program Manager,"Overall, pretty good if you don't mind working incredibly hard","getting to work with great people in a changing and dynamic environment. getting fantastic opportunities to work on great projects and progress your career. zero to no work life balance which can be tough enough going at time highly competitve environment which is generally good but can have a negative impact, especially since there's no incentive for people to work together.",4,3,3,5,4,3
" Nov 26, 2016",Former Employee - CSE,A mixed bag,good work culture. hire and fire policy like americans is evident. professional attitude shown.. zero tolerance does not go well with indian mindsets,3,none,none,none,none,none
" Oct 14, 2012",Current Employee - Anonymous Employee,It is a learning experience,"very safety conscious, employee oriented environment. if your looking for a fast paced continuous way of life on the job this is the place for you.. zero tolerance of anything, for example joking as you work.",4,none,none,none,none,none
" Aug 14, 2015",Former Employee - Anonymous Employee,Flawed System,can learn a lot from colleagues if you are motivated.. zero transparency consistency with internal promotion.... salary way below market rates... best talent leaves on a consistent basis. staff chain smoking outside with bags under their eyes and pager bleeping on a friday evening...,1,2,2,1,1,1
" Jun 18, 2015",Current Employee - Product Manager,Design Producer,"very good work atmosphere, amazing benefits. zero transparency into future comp, base salary is low in comparison to the market, all systems are designed for engineers (could also be a pro too)",4,3,5,5,3,2
" May 23, 2017",Current Employee - SDE1,a good space to learn but a bad space to work,a good space to learn and grow. good technologies and services.. zero work life balance. retarded managers(especially from india),4,2,3,5,4,2
" Apr 21, 2016",Former Employee - Red Zone Specialist,Very tired routine,really great benefits in comparison to other retailers. zero work life balance and poor career development,2,1,5,1,4,3
" Dec 29, 2013",Former Employee - Anonymous Employee,It was ,"most people who work here are very bright. benefits are fantastic and second to none. great to have on your resume.. zero work life balance and the company talks out of both sides of it's @&&. one minute they say that they want you to have work life balance, the next they say that if you really want to get ahead that you have to put in many, many hours to get ahead. many of the people in my group would be doing work into the night on a daily basis. they issue an annual employee survey where the purpose is to take the temperature of the employees and how they like to work at microsoft. each of the years that i was there, our direct manager would have a meeting with us and would say ""if you have any problems at all, we would appreciate it if you told us in advance of the survey so we can work things out"". this to me is just purely unethical you are essentially strong armed into providing responses that are not honest for fear of it coming back to bite you professionally. managers seem to be ""graded"" on this so if they have a small group of reports, then it wouldn't be too hard for them to figure out who said what (or they may assume). speaking of surveys they do the same with their customers as well. this is a big metric within ms and reps have to be very careful as to who they get to fill out their surveys in order to get a good response. have literally seen reps blatantly ask for good marks rather than honest ones. political very political internally. there are people who have been there for years and are very much an ""inner circle"". people are some what click'ish. not really a ""negative"" but just different very different sales cycle and unique from most other sales organizations. july, there is nothing going on, august through ~october is mostly ""sales planning"". different in that the specialists are responsible for telling the account managers where the opportunities are within the account managers companies. this is not a big negative, but i do find it unusual. you would think that the account manager should know where the opportunities are within their own accounts.",3,2,2,3,5,2
" Jul 19, 2017",Former Employee - Anonymous Employee,"Great company, but not forever",great experience and challenging problems. zero work life balance at all levels,3,1,3,3,5,2
" Jul 14, 2017",Current Employee - Software Developer,Sde,"bright people, easy international relocation. learning curve is above average. stock prices are going good right now. fair growth opportunities.. zero work life balance away team model, in which you need to work in other team's code teams that work for india market are too focused on releasing features fast and doesn't care much about quality.",3,1,4,4,3,2
" Dec 7, 2015",Former Employee - Anonymous Employee,The average tenure for an Amazon employee is 9 to 12 months...,"nice office knowledgeable teams in the us better than average pay. zero work life balance corporate culture (nothing like google or facebook) disparity and lack of communication with cross functional teams, departments and senior management amazon's peculiar ways still very much a us centric company gaps in knowledge basically if you want a rundown of why not to work at amazon, read any recent articles about their culture at tech insider, buzzfeed and ny times, they're spot on.",2,1,1,3,3,1
" Sep 5, 2012",Former Employee - Technical Support Manager,My first company so it was a great learning experience for 7 years,"amazing speed at which things are done, smart co workers and great learning opportunities and global impact of your work. excellent tools and infrastructure makes you very productive. great medical benefits.. zero work life balance, insane performance review system with a forced ranking system which makes everyone competitive instead of collaborative, ruthless managers who don't care about your career and will not let you move to another group/country. no shift premium / extra pay for overtime /odd hours worked.",4,1,1,1,5,4
" Oct 23, 2016",Current Employee - Software Architect/Tech Lead,Tech Lead,"ok to good money and benefits. zero work life balance, no career growth",3,1,2,2,4,1
" Jul 8, 2017",Current Employee - Anonymous Employee,Operations,good learning opportunity due to the varied options. zero work life balance.,3,1,2,3,1,1
" Jun 19, 2017",Former Employee - Anonymous Employee,Area manager,good pay. and stock.. zero work life balance. everyone is out for themselves. your boss will embarrass you in front of your associates and peers. your manager doesn't take time to train you. you are not properly trained.,2,1,2,none,5,2
" Feb 19, 2018",Current Employee - Anonymous Employee,Senior Advisor,"employee discount health care dental salary is above average for a call centre job.. zero work life balance. if you get a bad shift your stuck with it for three months. very stressful job, taking up to 80 calls per day. no real support for the senior team. its a call centre job like every other one but they try to tell you you're better as this is for ""apple""",2,1,3,3,3,1
" Aug 6, 2014",Former Employee - Area Manager,Challenging and demanding excellence in all things.,moderate potential for salary growth in sales division. excellence is expected in everything you do from customer interactions to reporting to program management.. zero work life balance. individual divisions were too isolated from each other even when there were similar job duties and no confidential information involved.,4,1,5,3,4,5
" Aug 8, 2018",Current Employee - Ops Manager,Ops Manager,"5 days working, 2 week offs. high paid salary for l4 and above levels. zero work life balance. need to work in shifts. all 365 days working. too many metrics too follow. low growth chance",1,1,1,1,4,1
" Aug 8, 2018",Current Employee - Ops Manager,Ops Manager,"5 days working, 2 week offs. high paid salary for l4 and above levels. zero work life balance. need to work in shifts. all 365 days working. too many metrics too follow. low growth chance",1,1,1,1,4,1
" Sep 13, 2017",Former Employee - Anonymous Employee,This place is not good.,"there is nothing good about this place. zero work life balance. no one cares about you or your work. they use, abuse, and get rid of you.",1,1,2,1,2,1
" Feb 26, 2016",Former Employee - Inbound Associate,Fulfillment Center,"insurance, flexibility for going to college if you've been employed for more than a year. if you can become favored among the management, you will receive the ""good"" jobs in the warehouse.. zero work life balance. offers a tuition program but you are paid so lowly that you will never use it as most employees will qualify for a pell grant. top out at $2 more than your starting salary after two years.",2,1,1,1,3,1
" Jun 18, 2015",Current Employee - Assistant Manager,amazon culture,if you are able to survive a few years at amazon you can be successful anywhere else. zero work life balance. the culture is based on getting the absolute most of the employees in order to benefit the self interests of the senior leadership. survival is the order of the day.,2,1,1,2,3,1
" Aug 23, 2015",Former Employee - Senior Operations Manager,Senior Operations Manager,"great benefits and if you can last, very good bonuses.. zero work life balance. treated like slaves. brutal conditions for managers. work over 80 hours per week is ""normal"". if you are lucky you get a couple of days off per week, but hey, you are working from home because you are always overloaded with work. oh, and if that's not enough, enjoy working through lunch loading trailers or packing on a pack line. and good luck getting a minute to use the bathroom. nope, i am not exaggerating. amazon sucks and treats people like crap. they don't do anything super creative as far as their fulfillment centers go, but they think they do. i watched many people do projects that were not projects at all, but industry standards. or, my personal favorite was do a project that was done a year ago and failed and just do it again with bogus data (their data is so unreliable) and make it look like you actually accomplished something for a promotion.",1,1,1,1,5,1
" Jun 4, 2010",Current Employee - Anonymous Employee,$50 billion startup mentality,"senior management is brilliant, focused, demanding and work long hours company is on a roll. products are awesome. you can make an impact here. the sky is the limit.. zero work life balance. we are ridiculously understaffed. perception from execs both negative or positive are a big part of talent planning.",5,1,none,4,3.5,5
" Jan 23, 2012",Current Employee - Process Assistant,"Pays the bills, sucks away your life, keep looking for a better opportunity.","stock payouts good insurance raises until you max out in 3 years... @ $16/hr. challenges every day. good experience managing large number of associates.. zero work life balance. when requesting time off, i get dirty looks from my managers. almost no communications between tier 3's and management almost no recognition from superiors. i find myself training managers who are supposed to be developing me.",2,2,none,2,2.5,3
" Oct 29, 2018",Current Employee - Program Manager,Program Manager,"work on new ideas and freedom to try out new concepts. zero work life harmony, most of the things suggested by management team is useless.",1,1,1,3,5,1
" Apr 10, 2015",Former Employee - Principal Engineer,Principal Engineers,"their pay is better than most company, but you have to work extremely long hours and weekend.. zero work/life balance unethical management. the manager in my department (silicon engineering group) only cares what his/her boss thinks and try whatever possible to please his/her boss. they consistently made up stories/lies to make them good in front of others. if things go bad, they try their best to blame others and cover their fault. nonfunctional hr. hr plays very weak role. reporting management issues to hr does not help, instead the retaliation is what you can get.",1,1,1,2,4,2
" Jan 13, 2016",Current Employee - Family Room Specialist,"Fast pace, stressful, but rewarding","develop great comunication skills that apply outside of work as well. benefits, stock options, and 401k even as a part time employee. of course discount on products and getting to work with an amazing team of very talented individuals. zero work/life balance in retail with no consistency in schedule. opportunity for advancement in position is a struggle and extremely competivie as well as political in some stores. focuses more on customer experience and very little on employee experience. extremely fast paced and stressful. lots of learning on the fly",3,1,5,3,5,4
" May 6, 2011",Former Employee - Anonymous Employee,Stay away!,"competitive pay, reputable company, decent benefits. zero work/life balance, inconsistency among departments about flex time/flexibile scheduling, managers are not effective at training or developing employees, managers play favorites and if you aren't part of the ""in crowd"", you are railroaded out",1,1,none,2,3,1
" Dec 12, 2016",Current Employee - Program Manager II,Work Hard. Make Great Money.,"great pay, high visibility projects, record breaking speed, you'll never work for a company that has its hands in so many different areas, flexibility to move around and try new things. zero work/life balance, lack of thoughtful leaders, zero support structure for mid level managers, growth and development is based on your ability to own it",2,1,2,5,5,2
" Jun 30, 2018",Former Employee - Apple At Home Advisor,Company has gone down since Jobs passed away,"benefits package is well rounded, tuition reimbursement program is good. zero work/life balance, management are mostly outside hires with no relevant experience, management can be hit or miss (some are amazing and decent human beings and some are absolute monsters) hr is useless and doesnt protect employees from sexual harassment, ceo seems more concerned about sending employees emails demanding they take his views on political issues rather than focusing on creating more innovative tech.",1,1,2,2,5,1
" Jun 25, 2008",Former Employee - Vice President,Love the good with the not so good,"great, smart people who are passionate about their roles as builders. high bar for excellence and analytics. challenging and constantly changing business opportunities that make each job ""new again"" on a regular basis. jeff is a visionary and is one of the few ceos of fortune 500 companies that is actively involved in creating value for shareholders.. zero work/life balance, too much communication by email rather than face to face collaboration, customer focus spotty although a core value, overly dominated by software development engineers who lack general business management, leadership or basic social skills, there's the feeling that anyone/everyone is ultimately expendable with the exception of jeff which leads to a subtle ""temporary"" feeling to anyone's tenure at the company.",4,1.5,none,4,2.5,4
" Dec 10, 2014",Former Employee - Senior Human Resource Assistant,Sr. Human Resource Assistant,"i would recommend, but with strong hesitancy: straight out of college i made $50k with no experience in human resources. heck, my degree was in liberal arts. very few of my peers could say the same. if you want to see different places, amazon has a lot of different locations around the us and transfers are pretty commonplace. you will meet enthusiastic, intelligent people who you will learn to love like family. you will grow an incredible amount professionally, i do appreciate what amazon did for me professionally. i went from a sr. human resource assistant position at amazon to a human resources manager position at another company after my stay with amazon.. zero work/life balance. do you have children? are you married? if you answered yes, look somewhere else. you will virtually never see your children and/or your spouse. i know mothers and father who were constantly torn between family and career, don't do",3,1,5,2,3,3
" Sep 19, 2013",Current Employee - Recruiting Coordinator,Zero work/lif balance,"other companies love to hire people with amazon experience as they know they are overworked but smart and know what they are doing. you'll never work with smarter people. corporate is dog friendly.. zero work/life balance. instead of hiring 1 person to do the job of 1 person, they hire 1 person to do the job of 3 people. it helps eliminates a potential for layoffs, but doing 3 full time jobs is absurd. internal promotions require tons of red tape.",3,1,4,2,3,2
" Jan 10, 2016",Former Employee - Employee,I Love Apple,the company is amazing. excellent work environment as you get to work from the comfort of your own home. zero work/life balance. the schedule changes every 90 days,4,3,4,4,4,3
" May 31, 2009",Current Employee - Software Development Engineer,"Good place to start, Move on once you have learnt the trade","lots of work, you will get plenty of stuff to learn, so so benefits, management is not good, however the engineers are very smart.. zero work life balance, you will not have time for anything else besides work. learn skills and move onto something else.",3,2,none,2.5,4,3
" Apr 30, 2017",Former Employee - Area Manager,Good Transition Company,"high pay for managers (you'll earn it) starting bonus work with some great people relocation benefits looks great on resume to future employers mentor program got to see my mentee promoted. zero work life balance constant mandatory ot career really depends on your ops if they like you, they'll help...if they don't, you can't move anywhere get ready to harass associates you'll get to carry your laptop around all day and spit numbers at the",2,1,2,4,4,3
